URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,17,2,0.7894736426592819,0.03135313526179351,20.896551724137932,46.6996699669967,27.038488676453852,20.896551724137932,283,606,1.6782178217821782,5,4.731023102310231
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,72,32,0.3846153809171598,0.05642973409851886,22.475609756097562,50.623982637004886,29.239836957240982,22.475609756097562,933,1843,1.8269126424308193,8,4.972327726532827
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,49,25,0.32432431994156324,0.05142460038121987,23.59016393442623,53.2314107018763,30.728629854521014,23.59016393442623,766,1439,2.004864489228631,15,5.502432244614315
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,50,76,-0.20634920471151424,0.08780487798759241,25.625,51.01045296167247,30.65418118466899,25.625,732,1435,1.9184668989547038,7,5.358188153310104
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,32,9,0.560975596073766,0.04162436543997526,22.906976744186046,50.45685279187817,29.345531814425687,22.906976744186046,497,985,1.834517766497462,8,5.193908629441625
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,99,28,0.5590551137082275,0.05528950802991315,24.967391304347824,53.19982585981715,31.266886865665995,24.967391304347824,1222,2297,1.9647366129734436,8,5.408794079233783
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,33,44,-0.14285714100185531,0.0603921568153787,20.238095238095237,49.88235294117647,28.048179271708683,20.238095238095237,636,1275,1.7631372549019608,3,4.91921568627451
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,41,10,0.6078431253364094,0.0461121156906762,21.26923076923077,52.16998191681736,29.375685074419255,21.26923076923077,577,1106,2.0207956600361663,5,5.594936708860759
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,53,51,0.01923076904585799,0.07914764073124228,21.540983606557376,53.72907153729072,30.10802205753924,21.540983606557376,706,1314,1.9969558599695585,5,5.5608828006088284
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,71,69,0.01428571418367347,0.07056451609346547,23.61904761904762,47.53024193548387,28.459715821812598,23.61904761904762,943,1984,1.7953629032258065,10,4.928427419354839
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,74,20,0.5744680789950205,0.05295774644903788,25.0,50.30985915492958,30.123943661971836,25.0,893,1775,1.9025352112676057,5,5.326760563380281
